iter	Passed	Remaining
405	7083	45255
406	7098	45222
407	7114	45197
408	7131	45175
409	7147	45150
410	7162	45121
411	7180	45103
412	7196	45076
413	7211	45043
414	7230	45036
415	7247	45017
416	7264	44999
417	7280	44970
418	7296	44945
419	7312	44920
420	7329	44901
421	7345	44872
422	7360	44842
423	7377	44824
424	7392	44791
425	7408	44765
426	7423	44730
427	7439	44708
428	7456	44686
429	7471	44658
430	7489	44639
431	7507	44628
432	7525	44613
433	7541	44589
434	7559	44575
435	7575	44552
436	7590	44520
437	7606	44495
438	7623	44472
439	7639	44448
440	7656	44427
441	7673	44406
442	7687	44374
443	7703	44346
444	7719	44322
445	7736	44299
446	7752	44275
447	7770	44266
448	7788	44247
449	7804	44223
450	7820	44201
451	7837	44181
452	7854	44161
453	7871	44142
454	7889	44127
455	7906	44108
456	7923	44092
457	7938	44063
458	7954	44038
459	7969	44006
460	7984	43975
461	7999	43942
462	8015	43918
463	8030	43890
464	8044	43857
465	8058	43822
466	8076	43805
467	8092	43782
468	8108	43758
469	8125	43738
470	8142	43718
471	8157	43692
472	8173	43668
473	8188	43638
474	8204	43614
475	8220	43591
476	8237	43570
477	8252	43542
478	8268	43516
479	8282	43480
480	8297	43452
481	8312	43423
482	8327	43394
483	8343	43374
484	8358	43345
485	8373	43316
486	8389	43292
487	8405	43265
488	8420	43240
489	8435	43209
490	8451	43184
491	8466	43160
492	8482	43136
493	8498	43112
494	8514	43089
495	8532	43075
496	8550	43059
497	8565	43033
498	8583	43018
499	8599	42999
500	8615	42974
501	8632	42955
502	8648	42934
503	8663	42904
504	8678	42877
505	8694	42852
506	8708	42823
507	8726	42805
508	8742	42785
509	8759	42765
510	8777	42753
511	8794	42737
512	8812	42720
513	8828	42698
514	8845	42682
515	8862	42664
516	8878	42639
517	8893	42612
518	8911	42600
519	8928	42581
520	8944	42557
521	8960	42538
522	8975	42508
523	8989	42476
524	9009	42473
525	9023	42442
526	9039	42416
527	9057	42407
528	9074	42388
529	9092	42372
530	9111	42366
531	9127	42343
532	9144	42324
533	9161	42309
534	9179	42293
535	9197	42282
536	9216	42271
537	9230	42242
538	9248	42225
539	9262	42197
540	9277	42169
541	9291	42136
542	9309	42122
543	9325	42100
544	9340	42074
545	9358	42061
546	9374	42041
547	9389	42014
548	9406	41997
549	9422	41973
550	9438	41952
551	9455	41934
552	9472	41913
553	9489	41896
554	9510	41895
555	9527	41880
556	9544	41863
557	9563	41851
558	9578	41827
559	9594	41805
560	9613	41794
561	9629	41774
562	9647	41761
563	9664	41742
564	9682	41727
565	9697	41702
566	9714	41684
567	9730	41662
568	9746	41640
569	9766	41635
570	9782	41613
571	9800	41602
572	9817	41582
573	9832	41557
574	9849	41538
575	9864	41514
576	9880	41489
577	9897	41473
578	9914	41455
579	9930	41432
580	9945	41408
581	9962	41390
582	9978	41370
583	9996	41355
584	10014	41340
585	10032	41328
586	10049	41308
587	10065	41288
588	10082	41271
589	10102	41267
590	10116	41237
591	10135	41226
592	10153	41212
593	10174	41211
594	10193	41202
595	10217	41212
596	10239	41213
597	10267	41243
