iter	Passed	Remaining
407	5673	22139
408	5688	22126
409	5701	22109
410	5715	22095
411	5727	22074
412	5740	22056
413	5752	22035
414	5764	22014
415	5776	21993
416	5787	21971
417	5800	21952
418	5812	21933
419	5825	21914
420	5837	21895
421	5851	21881
422	5864	21862
423	5876	21844
424	5889	21827
425	5903	21812
426	5916	21795
427	5929	21777
428	5941	21758
429	5954	21742
430	5968	21728
431	5981	21709
432	5994	21692
433	6006	21671
434	6018	21650
435	6030	21632
436	6042	21612
437	6057	21602
438	6069	21583
439	6082	21563
440	6095	21546
441	6108	21530
442	6121	21513
443	6133	21495
444	6146	21477
445	6159	21460
446	6171	21442
447	6184	21424
448	6197	21407
449	6210	21390
450	6222	21371
451	6235	21356
452	6247	21336
453	6260	21318
454	6272	21300
455	6285	21281
456	6297	21262
457	6309	21244
458	6322	21225
459	6333	21205
460	6346	21187
461	6359	21169
462	6371	21152
463	6384	21134
464	6397	21118
465	6410	21100
466	6422	21082
467	6434	21064
468	6447	21048
469	6459	21029
470	6472	21012
471	6485	20996
472	6499	20982
473	6512	20967
474	6526	20954
475	6540	20939
476	6553	20924
477	6565	20905
478	6578	20887
479	6590	20870
480	6603	20852
481	6615	20834
482	6627	20816
483	6639	20796
484	6651	20778
485	6664	20759
486	6676	20742
487	6688	20724
488	6700	20705
489	6712	20686
490	6725	20668
491	6737	20650
492	6749	20632
493	6762	20616
494	6774	20598
495	6786	20579
496	6799	20561
497	6811	20542
498	6823	20524
499	6835	20506
500	6852	20501
501	6870	20502
502	6882	20483
503	6895	20466
504	6907	20449
505	6921	20434
506	6932	20416
507	6944	20397
508	6958	20383
509	6970	20365
510	6982	20347
511	6995	20330
512	7008	20315
513	7020	20297
514	7032	20279
515	7044	20259
516	7058	20245
517	7070	20228
518	7083	20214
519	7097	20199
520	7110	20183
521	7123	20170
522	7136	20155
523	7149	20139
524	7163	20126
525	7176	20110
526	7189	20095
527	7202	20079
528	7215	20062
529	7227	20045
530	7240	20029
531	7253	20014
532	7265	19997
533	7278	19981
534	7291	19965
535	7303	19948
536	7316	19933
537	7329	19916
538	7341	19899
539	7354	19883
540	7366	19866
541	7379	19849
542	7391	19833
543	7404	19817
544	7417	19801
545	7429	19785
546	7442	19770
547	7455	19754
548	7468	19738
549	7481	19724
550	7494	19709
551	7507	19692
552	7519	19676
553	7532	19660
554	7544	19643
555	7556	19626
556	7568	19608
557	7581	19591
558	7594	19576
559	7606	19559
560	7618	19541
561	7630	19523
562	7642	19505
563	7654	19488
564	7666	19471
565	7678	19455
566	7691	19439
567	7704	19424
568	7717	19408
569	7730	19393
570	7744	19382
571	7758	19367
572	7770	19352
573	7783	19337
574	7797	19325
575	7810	19309
576	7823	19295
577	7837	19281
578	7851	19268
579	7863	19251
580	7875	19234
581	7887	19217
582	7899	19201
583	7912	19184
584	7924	19168
585	7937	19152
586	7950	19137
587	7962	19121
588	7975	19105
589	7987	19089
590	8000	19073
591	8012	19057
592	8025	19041
593	8038	19027
594	8051	19011
595	8064	18996
596	8077	18982
597	8089	18965
598	8102	18951
599	8114	18934
600	8127	18918
601	8140	18903
602	8152	18886
603	8164	18871
604	8177	18855
605	8189	18839
606	8202	18823
607	8213	18805
608	8225	18788
609	8237	18770
610	8250	18756
611	8262	18739
612	8275	18725
613	8287	18708
614	8300	18692
615	8312	18676
616	8325	18660
617	8337	18644
618	8349	18627
619	8361	18611
620	8374	18596
621	8386	18579
622	8398	18563
623	8410	18546
624	8422	18529
625	8435	18515
626	8448	18499
627	8460	18484
628	8473	18469
629	8487	18457
630	8502	18447
631	8521	18446
632	8534	18431
633	8547	18416
634	8561	18403
635	8574	18389
636	8587	18374
637	8600	18359
638	8612	18344
639	8626	18330
640	8638	18315
641	8651	18299
642	8664	18285
643	8677	18270
644	8689	18254
645	8702	18239
646	8714	18223
647	8726	18207
648	8738	18190
649	8750	18173
650	8762	18157
651	8775	18142
652	8788	18127
653	8800	18112
654	8812	18096
655	8825	18081
656	8837	18064
657	8849	18048
658	8861	18032
659	8874	18016
660	8886	18000
661	8898	17984
662	8910	17968
663	8922	17952
664	8934	17936
665	8946	17920
666	8959	17905
667	8971	17889
668	8983	17873
669	8995	17857
670	9007	17841
671	9020	17826
672	9032	17810
673	9044	17793
674	9057	17779
675	9070	17764
676	9082	17749
677	9094	17733
678	9108	17720
679	9121	17705
680	9133	17690
681	9145	17674
682	9158	17658
683	9169	17642
684	9182	17627
685	9195	17613
686	9207	17596
687	9219	17580
688	9231	17565
689	9243	17548
690	9255	17533
691	9268	17519
692	9281	17505
693	9294	17490
694	9306	17475
695	9320	17462
696	9333	17448
697	9345	17432
698	9359	17419
699	9372	17406
700	9386	17394
701	9400	17380
702	9413	17367
703	9426	17353
704	9438	17338
705	9451	17322
706	9463	17307
707	9477	17294
708	9490	17280
709	9503	17266
710	9516	17252
711	9529	17238
712	9542	17224
713	9556	17211
714	9570	17199
715	9582	17184
716	9598	17175
717	9611	17162
718	9625	17149
719	9638	17135
720	9652	17122
721	9668	17113
722	9681	17099
723	9694	17085
724	9707	17070
725	9720	17057
726	9733	17043
727	9748	17032
728	9761	17019
729	9775	17006
730	9787	16990
731	9799	16975
732	9812	16960
733	9824	16946
734	9837	16931
735	9850	16916
736	9862	16901
737	9875	16887
738	9889	16874
739	9904	16864
740	9918	16852
741	9931	16837
742	9944	16824
743	9958	16811
744	9971	16797
745	9985	16784
746	9997	16770
747	10012	16758
748	10025	16744
749	10038	16731
750	10053	16719
751	10065	16704
752	10078	16691
753	10092	16677
754	10105	16663
755	10117	16648
756	10129	16633
757	10143	16620
758	10159	16611
759	10178	16607
760	10191	16592
761	10205	16579
762	10217	16565
763	10230	16551
764	10243	16536
765	10255	16521
766	10269	16508
767	10281	16493
768	10294	16479
769	10309	16467
770	10322	16455
771	10336	16441
772	10348	16426
773	10361	16412
774	10374	16398
775	10388	16385
776	10401	16371
777	10415	16359
778	10428	16345
779	10441	16332
780	10454	16317
781	10467	16303
782	10479	16288
783	10492	16274
784	10505	16259
785	10517	16244
786	10529	16229
787	10541	16214
788	10554	16199
789	10566	16183
790	10578	16168
791	10590	16153
792	10604	16140
793	10617	16126
794	10629	16110
795	10641	16096
796	10653	16080
797	10666	16067
798	10679	16051
799	10692	16038
800	10705	16025
801	10718	16011
802	10731	15996
803	10743	15981
804	10757	15969
805	10770	15955
806	10783	15941
807	10796	15927
808	10809	15913
809	10821	15898
810	10836	15887
811	10849	15873
812	10863	15860
813	10876	15847
814	10889	15832
815	10901	15818
816	10915	15805
817	10928	15791
818	10942	15779
819	10956	15766
820	10969	15752
821	10981	15737
822	10994	15722
823	11006	15708
824	11019	15694
825	11031	15679
826	11043	15663
827	11056	15649
828	11068	15634
829	11080	15620
830	11094	15606
831	11106	15591
832	11118	15576
833	11131	15562
834	11143	15547
835	11155	15532
836	11168	15518
837	11180	15503
838	11193	15488
839	11206	15475
840	11218	15460
841	11231	15446
842	11243	15432
843	11256	15418
844	11269	15404
845	11282	15389
846	11295	15376
847	11309	15363
848	11321	15349
849	11334	15335
850	11348	15322
851	11360	15307
852	11372	15292
853	11385	15278
854	11398	15264
855	11411	15250
856	11424	15236
857	11436	15222
858	11449	15208
859	11463	15195
860	11475	15181
861	11488	15166
862	11501	15152
863	11513	15138
864	11526	15124
865	11539	15110
866	11552	15096
867	11565	15082
868	11577	15068
869	11589	15053
870	11602	15038
871	11614	15024
872	11627	15009
873	11640	14996
874	11653	14982
875	11667	14970
876	11679	14955
877	11692	14941
878	11704	14926
879	11716	14911
880	11728	14896
881	11739	14881
882	11752	14867
883	11764	14852
884	11777	14838
885	11790	14824
886	11804	14811
887	11834	14819
888	11846	14805
889	11859	14791
890	11872	14776
891	11884	14762
892	11899	14750
893	11911	14736
894	11925	14723
895	11937	14709
896	11951	14696
897	11964	14682
898	11975	14666
899	11988	14652
900	12000	14637
901	12012	14622
902	12023	14607
903	12036	14592
904	12048	14578
905	12060	14563
906	12072	14548
907	12084	14533
908	12097	14519
909	12109	14505
